epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.6316,4.4861,6.4644,3.43824,0,0,0,0,4.21288,6.25359,3.39604,1.771e-05,1.771e-05,1.771e-05
2,102.701,3.52072,6.16325,2.67385,0,0,0,0,2.99287,6.08846,2.6449,3.66634e-05,3.66634e-05,3.66634e-05
3,150.633,2.80973,5.77435,2.13399,0,0,0,0,2.15499,5.64766,1.84198,5.52343e-05,5.52343e-05,5.52343e-05
4,198.346,2.06464,5.2132,1.61905,0,0,0,0,1.79465,5.31722,1.4181,7.34226e-05,7.34226e-05,7.34226e-05
5,245.841,1.80484,4.59328,1.37494,0.2,0.2,0.199,0.14119,1.97767,5.13936,1.59081,9.12284e-05,9.12284e-05,9.12284e-05
6,293.712,1.56266,4.04122,1.2829,0.39827,0.2,0.199,0.16654,1.99044,4.86999,1.61126,0.000108652,0.000108652,0.000108652
7,338.914,1.27672,3.03812,1.09439,0.4,0.17133,0.199,0.09797,2.1751,4.69606,1.52075,0.000125692,0.000125692,0.000125692
8,383.887,1.30734,2.39109,1.10618,0.11,0.49697,0.22892,0.13519,2.01319,4.56882,1.45529,0.000142351,0.000142351,0.000142351
9,429.407,1.15451,1.99979,1.02147,0.0994,0.64242,0.37491,0.21555,1.96781,4.07195,1.38638,0.000148249,0.000148249,0.000148249
10,474.806,1.11676,1.74517,1.00161,0.59048,0.36364,0.51767,0.33507,1.91683,3.06084,1.32572,0.000146655,0.000146655,0.000146655
11,517.185,1.14269,1.68433,1.03043,0.49544,0.45455,0.5565,0.35494,1.90695,2.51201,1.34326,0.000145061,0.000145061,0.000145061
12,561.347,0.99301,1.34376,0.92848,0.73937,0.45572,0.57727,0.39193,1.80477,2.17081,1.26584,0.000143467,0.000143467,0.000143467
13,605.992,0.92521,1.23453,0.93545,0.99023,0.49697,0.68116,0.477,1.74297,2.02818,1.23676,0.000141873,0.000141873,0.000141873
14,648.471,0.8926,1.15899,0.92778,0.98631,0.49697,0.73365,0.41141,1.918,1.9434,1.28486,0.000140279,0.000140279,0.000140279
15,692.553,0.92444,1.1096,0.92518,0.96608,0.61394,0.76954,0.5161,1.52984,1.69366,1.10145,0.000138685,0.000138685,0.000138685
16,739.995,0.76301,0.97413,0.89177,0.5555,0.84324,0.77928,0.4869,1.50342,1.54593,1.11211,0.000137092,0.000137092,0.000137092
17,787.402,0.82334,0.97955,0.90234,0.7107,0.8,0.78772,0.51859,1.41791,1.51362,1.04625,0.000135498,0.000135498,0.000135498
18,836.002,0.77613,0.9483,0.88581,0.68219,0.81267,0.79687,0.5863,1.26778,1.50893,1.01066,0.000133904,0.000133904,0.000133904
19,884.104,0.73366,0.90367,0.88255,0.69779,0.92121,0.84345,0.62428,1.15948,1.42532,0.98715,0.00013231,0.00013231,0.00013231
20,931.046,0.73133,0.88612,0.87679,0.99107,0.73869,0.91472,0.71831,1.00571,1.26224,0.96025,0.000130716,0.000130716,0.000130716
21,978.523,0.67643,0.80941,0.86301,0.98658,0.74939,0.92312,0.67554,1.20831,1.27795,0.98476,0.000129122,0.000129122,0.000129122
22,1024.27,0.67884,0.83306,0.86955,0.98869,0.76563,0.9262,0.70283,1.02987,1.17011,0.94603,0.000127528,0.000127528,0.000127528
23,1070.53,0.65567,0.77933,0.84876,0.78576,0.92121,0.92653,0.70331,1.02043,1.12175,0.92895,0.000125934,0.000125934,0.000125934
24,1116.23,0.7094,0.80266,0.85267,0.73066,0.92121,0.9275,0.69842,0.98998,1.1111,0.93056,0.00012434,0.00012434,0.00012434
