epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.3775,4.11537,9.3124,3.17707,0,0,0,0,3.13715,7.08986,2.78463,3.542e-05,3.542e-05,3.542e-05
2,194.724,2.77133,5.14307,2.18362,0.42427,0.1,0.10766,0.0644,2.18569,8.37079,1.95665,7.19718e-05,7.19718e-05,7.19718e-05
3,290.133,1.98119,3.31706,1.64054,0.41896,0.16364,0.20538,0.10014,1.80169,4.10627,1.56132,0.000108035,0.000108035,0.000108035
4,385.745,1.59359,2.17106,1.35547,0.22328,0.31515,0.30656,0.18243,1.42175,2.36422,1.30905,0.000143609,0.000143609,0.000143609
5,478.537,1.29455,1.7819,1.19035,0.62602,0.33262,0.29591,0.22029,1.16933,1.8638,1.11429,0.00015675,0.00015675,0.00015675
6,570.315,1.14331,1.40787,1.06616,0.33675,0.37576,0.31557,0.22305,1.19035,2.06053,1.10333,0.000155687,0.000155687,0.000155687
7,668.185,1.05905,1.22047,1.0118,0.52979,0.38182,0.34178,0.24161,1.16827,1.56847,1.07242,0.000154624,0.000154624,0.000154624
8,756.218,0.90262,1.02592,0.94028,0.6505,0.34545,0.35524,0.25563,1.08645,1.54727,0.97045,0.000153562,0.000153562,0.000153562
9,842.689,0.80171,0.928,0.91408,0.67039,0.41097,0.38872,0.27668,1.11844,1.37053,1.00012,0.000152499,0.000152499,0.000152499
10,930.215,0.75247,0.85935,0.89643,0.68493,0.44412,0.44918,0.33739,0.94804,1.05644,0.94342,0.000151437,0.000151437,0.000151437
11,1016.84,0.78143,0.86166,0.89946,0.59555,0.44636,0.45677,0.33629,0.94712,0.96169,0.93427,0.000150374,0.000150374,0.000150374
12,1104.9,0.74003,0.77116,0.87723,0.58764,0.46824,0.46156,0.35381,0.86966,0.91399,0.89786,0.000149311,0.000149311,0.000149311
13,1192.39,0.69083,0.72939,0.86273,0.54265,0.44862,0.46414,0.36867,0.87687,0.88886,0.90044,0.000148249,0.000148249,0.000148249
14,1279.33,0.66957,0.72954,0.85964,0.58289,0.44303,0.46568,0.36979,0.90972,0.86248,0.91291,0.000147186,0.000147186,0.000147186
15,1366.43,0.60659,0.64553,0.85542,0.58676,0.4697,0.47085,0.41048,0.81869,0.77995,0.88696,0.000146124,0.000146124,0.000146124
16,1453.2,0.57956,0.62355,0.84319,0.59072,0.4697,0.47183,0.39095,0.83798,0.78647,0.89598,0.000145061,0.000145061,0.000145061
17,1539.9,0.57773,0.60987,0.85037,0.59179,0.46616,0.47284,0.39018,0.80687,0.70002,0.86631,0.000143998,0.000143998,0.000143998
18,1626.02,0.5428,0.62908,0.84277,0.59241,0.4697,0.47593,0.4044,0.76924,0.71471,0.85013,0.000142936,0.000142936,0.000142936
19,1712.49,0.52447,0.57847,0.82703,0.59553,0.4697,0.47266,0.38741,0.72313,0.65547,0.84272,0.000141873,0.000141873,0.000141873
20,1799.61,0.53304,0.56182,0.84674,0.59513,0.4697,0.47268,0.40609,0.7243,0.66862,0.83331,0.000140811,0.000140811,0.000140811
