epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.221,0.76837,4.58006,0.95486,0.01842,0.78746,0.02346,0.02016,0.63744,3.91758,0.85217,5.9109e-05,5.9109e-05,5.9109e-05
2,822.681,0.68925,3.56383,0.92105,0.04755,0.20826,0.06162,0.0527,0.61422,3.19911,0.88755,0.0001176,0.0001176,0.0001176
3,1223.68,0.64398,3.0554,0.9262,0.09817,0.48863,0.12894,0.10875,0.62366,2.79718,0.91113,0.000174909,0.000174909,0.000174909
4,1629.16,0.58719,2.66615,0.91323,0.14626,0.51145,0.20124,0.18196,0.45172,2.46827,0.85257,0.000173684,0.000173684,0.000173684
5,2035.08,0.52797,2.44018,0.89551,0.23541,0.57596,0.31994,0.29328,0.4274,2.21679,0.83889,0.000171912,0.000171912,0.000171912
6,2436.26,0.49351,2.20185,0.88998,0.37309,0.5671,0.51472,0.48001,0.37721,1.88621,0.83643,0.000170139,0.000170139,0.000170139
7,2839.51,0.47865,1.98797,0.88324,0.59109,0.72095,0.7055,0.66546,0.35475,1.59502,0.83027,0.000168367,0.000168367,0.000168367
8,3247.73,0.47058,1.75328,0.88196,0.71869,0.79411,0.82304,0.78714,0.32214,1.35361,0.8229,0.000166595,0.000166595,0.000166595
9,3656.14,0.45666,1.54625,0.87615,0.78996,0.8097,0.87586,0.84131,0.31361,1.2078,0.81975,0.000164823,0.000164823,0.000164823
10,4063.8,0.43002,1.37797,0.86762,0.90779,0.8689,0.93368,0.84209,0.47022,0.97002,0.85113,0.000163051,0.000163051,0.000163051
11,4475.32,0.42912,1.24338,0.86787,0.95295,0.89636,0.94729,0.89818,0.3423,0.86474,0.81468,0.000161279,0.000161279,0.000161279
12,4886.55,0.4215,1.13982,0.86301,0.97219,0.90546,0.95562,0.92249,0.28793,0.77714,0.80779,0.000159507,0.000159507,0.000159507
13,5296.51,0.40775,1.06547,0.8598,0.96968,0.91459,0.9623,0.92066,0.31553,0.71949,0.80974,0.000157735,0.000157735,0.000157735
14,5704.21,0.40172,1.00357,0.85812,0.98207,0.91466,0.9639,0.93684,0.27179,0.67065,0.80104,0.000155963,0.000155963,0.000155963
15,6108.58,0.3948,0.96687,0.85401,0.97753,0.92008,0.96562,0.91954,0.32377,0.66836,0.81113,0.000154191,0.000154191,0.000154191
16,6492.68,0.38353,0.91838,0.85381,0.98053,0.92302,0.96982,0.93977,0.27679,0.63355,0.80233,0.000152418,0.000152418,0.000152418
17,6852.63,0.37551,0.89791,0.85069,0.98377,0.92456,0.97023,0.94661,0.25995,0.60655,0.79667,0.000150646,0.000150646,0.000150646
18,7219.28,0.371,0.8722,0.84928,0.98642,0.92518,0.97361,0.9487,0.26175,0.59037,0.79516,0.000148874,0.000148874,0.000148874
19,7586.22,0.36122,0.84777,0.84562,0.98255,0.93,0.97402,0.94911,0.26658,0.58993,0.7954,0.000147102,0.000147102,0.000147102
20,7941.29,0.35584,0.83826,0.84228,0.98696,0.92675,0.97437,0.93417,0.30721,0.57594,0.80267,0.00014533,0.00014533,0.00014533
21,8303.39,0.3578,0.8208,0.84107,0.98547,0.9276,0.97543,0.95402,0.24516,0.56368,0.79048,0.000143558,0.000143558,0.000143558
22,8662.5,0.35456,0.81572,0.8425,0.98442,0.92529,0.97612,0.9497,0.26109,0.56762,0.79242,0.000141786,0.000141786,0.000141786
23,9013.05,0.34696,0.78928,0.84159,0.98652,0.92616,0.97678,0.95411,0.25121,0.54061,0.79053,0.000140014,0.000140014,0.000140014
24,9382.88,0.33614,0.76292,0.83702,0.98697,0.93093,0.9762,0.95422,0.2486,0.52924,0.79134,0.000138242,0.000138242,0.000138242
25,9739.71,0.33837,0.771,0.83848,0.98591,0.93127,0.97781,0.96124,0.22816,0.52266,0.78768,0.00013647,0.00013647,0.00013647
